Nang_dong,Huong_noi,Sang_tao,Logic,To_mo,Cam_thong,Yeu_thich_Logic,Yeu_thich_Xa_hoi,Yeu_thich_Suc_khoe,Yeu_thich_Nghe_thuat,Nhom_NganH_Output
2,4,3,5,5,1,5,2,1,2,Kế toán - Kiểm toán
5,1,4,3,4,3,3,5,1,2,Tài chính - Ngân hàng - Bảo hiểm
5,1,4,3,4,3,3,5,1,2,Kinh tế - Quản trị kinh doanh - Thương Mại
2,4,3,5,5,1,5,2,1,2,Công nghệ thông tin - Tin học
3,3,3,3,3,3,3,3,3,3,Công nghiệp bán dẫn
4,2,4,2,4,5,2,5,1,3,Báo chí - Markerting - Quảng cáo - PR
4,2,4,2,4,5,2,5,1,3,Sư phạm - Giáo dục
3,3,2,5,5,5,4,3,5,1,Y - dược
3,3,3,3,3,3,3,3,3,3,Bác sĩ thú y
3,3,3,3,3,3,3,3,3,3,Công an - Quân đội
3,3,5,2,4,2,1,3,1,5,Thiết kế đồ họa - Game - Đa phương tiện
3,3,5,2,4,2,1,3,1,5,Xây dựng - Kiến trúc - Giao thông
3,3,3,3,3,3,3,3,3,3,Ngoại giao - Ngoại ngữ
5,1,4,3,4,3,3,5,1,2,Ngoại thương - Xuất nhập khẩu - Kinh tế quốc tế
4,2,4,2,4,5,2,5,1,3,Du lịch - Khách sạn
3,3,3,3,3,3,3,3,3,3,Ô tô - Cơ khí - Chế tạo
2,4,3,5,5,1,5,2,1,2,Điện lạnh - Điện tử - Điện - Tự động hóa
3,3,3,3,3,3,3,3,3,3,Hàng hải - Thủy lợi - Thời tiết
3,3,3,3,3,3,3,3,3,3,Hàng không - Vũ trụ - Hạt nhân
2,4,3,5,5,1,5,2,1,2,Công nghệ vật liệu
2,4,3,5,5,1,5,2,1,2,Công nghệ chế biến thực phẩm
2,4,3,5,5,1,5,2,1,2,Công nghệ In - Giấy
2,4,3,5,5,1,5,2,1,2,Công nghệ sinh - Hóa
4,2,4,2,4,5,2,5,1,3,Luật - Tòa án
3,3,3,3,3,3,3,3,3,3,Mỏ - Địa chất
3,3,5,2,4,2,1,3,1,5,Mỹ thuật - Âm nhạc - Nghệ thuật
3,3,3,3,3,3,3,3,3,3,Tài nguyên - Môi trường
2,4,3,5,5,1,5,2,1,2,Tâm lý
3,3,3,3,3,3,3,3,3,3,Thể dục - Thể thao
3,3,5,2,4,2,1,3,1,5,Thời trang - May mặc
3,3,3,3,3,3,3,3,3,3,Thủy sản - Lâm nghiệp - Nông nghiệp
2,4,3,5,5,1,5,2,1,2,Toán học và thống kê
3,3,3,3,3,3,3,3,3,3,Nhân sự - Hành chính
2,4,3,5,5,1,5,2,1,2,Văn hóa - Chính trị - Khoa học Xã hội
3,3,3,3,3,3,3,3,3,3,Khoa học tự nhiên khác
