id,ten_truong,ten_nganh,ma_nganh,khoi_thi,diem_chuan_2023,diem_chuan_2024,diem_chuan_2025,vung,nhom_nganh,bac_dao_tao,loai_hinh,website,nguon_verified,verified
1,Đại học Công nghệ - ĐHQG Hà Nội,Công nghệ thông tin,7480201,"A00,A01,D01",27.2,27.5,27.7,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://uet.vnu.edu.vn,,Yes
2,Đại học Công nghệ - ĐHQG Hà Nội,Trí tuệ nhân tạo,7480207,"A00,A01,D01",26.8,27,27.2,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://uet.vnu.edu.vn,,Yes
3,Đại học Công nghệ - ĐHQG Hà Nội,Mạng máy tính và truyền thông dữ liệu,7480102,"A00,A01,D01",26.3,26.6,26.8,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://uet.vnu.edu.vn,,Yes
4,Đại học Bách Khoa Hà Nội,Khoa học máy tính,7480101,"A00,A01,D01",28,28.3,28.5,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://soict.hust.edu.vn,,Yes
5,Đại học Bách Khoa Hà Nội,Kỹ thuật máy tính,7480108,"A00,A01",27.3,27.6,27.8,Bắc,Công nghệ thông tin - Tin học,Đại học,Công lập,https://soict.hust.edu.vn,,Yes
6,Đại học Bách Khoa Hà Nội,Kỹ thuật điện tử - vi mạch,7520207,"A00,A01",25.3,25.6,25.8,Bắc,Công nghiệp bán dẫn,Đại học,Công lập,https://hust.edu.vn,,Yes
7,Đại học Bách Khoa TP.HCM,Khoa học máy tính,7480101,"A00,A01,D01",27.5,27.8,28,Nam,Công nghệ thông tin - Tin học,Đại học,Công lập,https://hcmut.edu.vn,,Yes
8,Đại học Bách Khoa TP.HCM,Kỹ thuật phần mềm,7480103,"A00,A01,D01",27.2,27.5,27.7,Nam,Công nghệ thông tin - Tin học,Đại học,Công lập,https://hcmut.edu.vn,,Yes
9,Đại học Kinh tế Quốc dân,Quản trị kinh doanh,7340101,"A00,A01,D01",27,27.3,27.5,Bắc,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://neu.edu.vn,,Yes
10,Đại học Kinh tế Quốc dân,Marketing,7340115,"A01,D01",26.8,27.1,27.3,Bắc,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://neu.edu.vn,,Yes
11,Đại học Kinh tế TP.HCM (UEH),Quản trị kinh doanh,7340101,"A00,A01,D01",26.5,26.8,27,Nam,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://ueh.edu.vn,,Yes
12,Đại học Kinh tế TP.HCM (UEH),Kinh doanh quốc tế,7340120,"A01,D01",26.3,26.6,26.8,Nam,Kinh tế - Quản trị kinh doanh - Thương Mại,Đại học,Công lập,https://ueh.edu.vn,,Yes
13,Đại học Ngoại thương,Kinh tế quốc tế,7310106,"A00,A01,D01",28,28.3,28.5,Bắc,Ngoại thương - Xuất nhập khẩu - Kinh tế quốc tế,Đại học,Công lập,https://ftu.edu.vn,,Yes
14,Đại học Ngoại thương,Ngôn ngữ Anh thương mại,7220201,"D01,A01",27.5,27.8,28,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://ftu.edu.vn,,Yes
15,Đại học Ngoại thương,Ngôn ngữ Trung Quốc thương mại,7220204,"D01,D04",27.8,28.1,28.3,Bắc,Ngoại giao - Ngoại ngữ,Đại học,Công lập,https://ftu.edu.vn,,Yes
16,Đại học Y Hà Nội,Y đa khoa,7720101,"B00,A00",28.5,28.8,29,Bắc,Y - dược,Đại học,Công lập,https://hmu.edu.vn,,Yes
17,Đại học Y Hà Nội,Răng - Hàm - Mặt,7720201,"B00,A00",27.5,27.8,28,Bắc,Y - dược,Đại học,Công lập,https://hmu.edu.vn,,Yes
18,Đại học Y Hà Nội,Dược học,7720201,"A00,B00",27,27.3,27.5,Bắc,Y - dược,Đại học,Công lập,https://hmu.edu.vn,,Yes
19,Đại học Y Dược TP.HCM,Y đa khoa,7720101,"B00,A00",28.3,28.6,28.8,Nam,Y - dược,Đại học,Công lập,https://yds.edu.vn,,Yes
20,Đại học Y Dược TP.HCM,Dược học,7720201,"A00,B00",26.8,27.1,27.3,Nam,Y - dược,Đại học,Công lập,https://yds.edu.vn,,Yes
21,Học viện Tài chính,Kế toán,7340301,"A00,A01,D01",25.5,25.8,26,Bắc,Kế toán - Kiểm toán,Đại học,Công lập,https://hvtc.edu.vn,,Yes
22,Học viện Tài chính,Tài chính - Ngân hàng,7340201,"A00,A01,D01",25.3,25.6,25.8,Bắc,Tài chính - Ngân hàng - Bảo hiểm,Đại học,Công lập,https://hvtc.edu.vn,,Yes
23,Học viện Ngân hàng,Ngân hàng,7340201,"A00,A01,D01",24.8,25.1,25.3,Bắc,Tài chính - Ngân hàng - Bảo hiểm,Đại học,Công lập,https://hvnh.edu.vn,,Yes
